Created,2024-02-02T19:31:16,
https://docs.ogc.org/is/22-003/22-003.html#req_mf_subtemporalvalue-parameter-definition,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/param-subtemporalvalue-definition,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf_subtemporalvalue-parameter-response,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/param-subtemporalvalue-response,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperties-op-get,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperties-get,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperties-op-post,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperties-post,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperties-response-get,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperties-get-success,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperties-response-post,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperties-post-success,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf_mandatory-tproperty,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-mandatory,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperty-op-get,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-get,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperty-op-post,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-post,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperty-op-delete,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-delete,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperty-response-get,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-get-success,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperty-response-post,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-post-success,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_mf-tproperty-response-delete,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/movingfeatures/tproperty-delete-success,requirement
https://docs.ogc.org/is/22-003/22-003.html#rc_mf_common,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/common,requirements_class
https://docs.ogc.org/is/22-003/22-003.html#req_core_param-limit,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/common/param-limit,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_core_param-bbox,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/common/param-bbox,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_core_param-datetime,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/common/param-datetime,requirement
https://docs.ogc.org/is/22-003/22-003.html#req_general_http-response,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/req/common/http-response,requirement
https://docs.ogc.org/is/22-003/22-003.html#conf_movingfeature_collection,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/conf/mf-collection,conformance_class
https://docs.ogc.org/is/22-003/22-003.html#conf_movingfeature,http://www.opengis.net/spec/ogcapi-movingfeatures-1/1.0/conf/movingfeatures,conformance_class
